Date,AAPL,AMZN,TSLA
10/20/11,12.179091,233.610001,5.468
10/21/11,12.103919,234.779999,5.606
10/24/11,12.501353,237.610001,5.71
10/25/11,12.25488,227.149994,5.65
10/26/11,12.342071,198.399994,5.596
10/27/11,12.468077,206.779999,5.752
10/28/11,12.476088,217.320007,5.974
10/31/11,12.470849,213.509995,5.874
11/1/11,12.216059,212.100006,5.776
11/2/11,12.243789,215.619995,5.742
11/3/11,12.418167,218.289993,6.492
11/4/11,12.330978,216.479996,6.462
11/7/11,12.315267,217,6.254
11/8/11,12.515526,217.990005,6.368
11/9/11,12.178165,211.220001,6.176
11/10/11,11.868225,210.789993,6.266
11/11/11,11.849741,217.389999,6.728
11/14/11,11.684607,218.929993,6.644
11/15/11,11.979448,217.830002,6.786
11/16/11,11.854367,211.990005,6.988
11/17/11,11.627609,204.520004,6.736
11/18/11,11.551511,197.139999,6.52
11/21/11,11.368814,189.25,6.352
11/22/11,11.599884,192.339996,6.414
11/23/11,11.306582,188.990005,6.29
11/25/11,11.201215,182.399994,6.332
11/28/11,11.587867,194.149994,6.512
11/29/11,11.497901,188.389999,6.35
11/30/11,11.775183,192.289993,6.548
12/1/11,11.951722,197.130005,6.52
12/2/11,12.006251,196.029999,6.66
12/5/11,12.108231,196.240005,6.884
12/6/11,12.044764,191.990005,6.974
12/7/11,11.987458,195.320007,6.838
12/8/11,12.03583,190.479996,6.178
12/9/11,12.127026,193.029999,6.208
12/12/11,12.072182,189.520004,6.082
12/13/11,11.978829,180.509995,5.89
12/14/11,11.713259,180.210007,5.706
12/15/11,11.674747,181.259995,5.724
12/16/11,11.738831,181.259995,5.6
12/19/11,11.775493,179.330002,5.55
12/20/11,12.198809,182.520004,5.58
12/21/11,12.214212,174.350006,5.514
12/22/11,12.278913,179.029999,5.554
12/23/11,12.426182,177.279999,5.58
12/27/11,12.524765,176.270004,5.714
12/28/11,12.404922,173.889999,5.702
12/29/11,12.481326,173.860001,5.746
12/30/11,12.477631,173.100006,5.712
1/3/12,12.669562,179.029999,5.616
1/4/12,12.737655,177.509995,5.542
1/5/12,12.879071,177.610001,5.424
1/6/12,13.013705,182.610001,5.382
1/9/12,12.993064,178.559998,5.45
1/10/12,13.039587,179.339996,5.524
1/11/12,13.018323,178.899994,5.646
1/12/12,12.98259,175.929993,5.65
1/13/12,12.933909,178.419998,4.558
1/17/12,13.084568,181.660004,5.32
1/18/12,13.220433,189.440002,5.362
1/19/12,13.178534,194.449997,5.352
1/20/12,12.949004,190.929993,5.32
1/23/12,13.168057,186.089996,5.354
1/24/12,12.952394,187,5.484
1/25/12,13.761131,187.800003,5.594
1/26/12,13.698587,193.320007,5.788
1/27/12,13.780232,195.369995,5.866
1/30/12,13.956766,192.149994,5.914
1/31/12,14.063673,194.440002,5.814
2/1/12,14.054737,179.460007,5.916
2/2/12,14.021776,181.720001,6.05
2/3/12,14.162264,187.679993,6.23
2/6/12,14.294432,183.139999,6.36
2/7/12,14.444166,184.190002,6.32
2/8/12,14.686013,185.479996,6.386
2/9/12,15.194055,184.979996,6.516
2/10/12,15.201758,185.539993,6.22
2/13/12,15.484586,191.589996,6.298
2/14/12,15.695935,191.300003,6.634
2/15/12,15.332696,184.470001,6.72
2/16/12,15.472569,179.929993,6.836
2/17/12,15.469793,182.5,6.994
2/21/12,15.86199,182.259995,6.9
2/22/12,15.806229,180.580002,6.844
2/23/12,15.909441,178.889999,6.906
2/24/12,16.094912,179.130005,6.75
2/27/12,16.19812,178.529999,6.724
2/28/12,16.495426,183.800003,6.762
2/29/12,16.712011,179.690002,6.682
3/1/12,16.774553,180.039993,6.882
3/2/12,16.796429,179.300003,6.808
3/5/12,16.426109,180.259995,6.754
3/6/12,16.33676,181.089996,6.622
3/7/12,16.350006,183.770004,6.624
3/8/12,16.698153,187.639999,6.614
3/9/12,16.796118,184.320007,6.948
3/12/12,17.006546,183.389999,7.202
3/13/12,17.502569,184.589996,7.218
3/14/12,18.164345,182.259995,7.058
3/15/12,18.040499,184.429993,7
3/16/12,18.040806,185.050003,7.064
3/19/12,18.519268,185.520004,6.996
3/20/12,18.668995,192.330002,6.992
3/21/12,18.562401,191.729996,7.03
3/22/12,18.465038,192.399994,6.88
3/23/12,18.363674,195.039993,6.816
3/26/12,18.70042,202.869995,7.48
3/27/12,18.93149,205.440002,7.588
3/28/12,19.028233,201.160004,7.57
3/29/12,18.78916,204.610001,7.466
3/30/12,18.471512,202.509995,7.448
4/2/12,19.059349,198.050003,7.316
4/3/12,19.388693,199.660004,7.602
4/4/12,19.234341,193.990005,7
4/5/12,19.523026,194.389999,6.896
4/9/12,19.601583,191.869995,6.63
4/10/12,19.361586,186.979996,6.492
4/11/12,19.292572,187.970001,6.618
4/12/12,19.186899,190.690002,6.688
4/13/12,18.646505,188.460007,6.718
4/16/12,17.873198,185.5,6.45
4/17/12,18.784224,188.389999,6.448
4/18/12,18.742319,191.070007,6.532
4/19/12,18.098419,191.100006,6.632
4/20/12,17.65292,189.979996,6.632
4/23/12,17.613483,188.240005,6.388
4/24/12,17.261648,190.330002,6.364
4/25/12,18.793465,194.419998,6.582
4/26/12,18.722605,195.990005,6.698
4/27/12,18.577803,226.850006,6.668
4/30/12,17.991814,231.899994,6.626
5/1/12,17.934822,230.039993,6.756
5/2/12,18.053432,230.25,6.788
5/3/12,17.925268,229.449997,6.492
5/4/12,17.414761,223.990005,6.366
5/7/12,17.545088,225.160004,6.494
5/8/12,17.505037,223.899994,6.038
5/9/12,17.535843,222.979996,6.012
5/10/12,17.577129,226.690002,6.592
5/11/12,17.459745,227.679993,6.45
5/14/12,17.198177,222.929993,6.012
5/15/12,17.042591,224.389999,5.886
5/16/12,16.82416,224.059998,5.836
5/17/12,16.332451,218.360001,5.714
5/18/12,16.34046,213.850006,5.512
5/21/12,17.292452,218.110001,5.754
5/22/12,17.159668,215.330002,6.16
5/23/12,17.57836,217.279999,6.204
5/24/12,17.416924,215.240005,6.056
5/25/12,17.32357,212.889999,5.962
5/29/12,17.631041,214.75,6.338
5/30/12,17.843626,209.229996,6.082
5/31/12,17.799265,212.910004,5.9
