Date,AAPL,AMZN,TSLA
4/2/12,598351600,6430300,5143000
4/3/12,834559600,5000700,5490500
4/4/12,572980800,5456900,22409000
4/5/12,641298000,3217500,7547000
4/9/12,597536800,3135900,8278500
4/10/12,889725200,4455000,9238500
4/11/12,696614800,4337800,5527500
4/12/12,614336800,4027900,5169500
4/13/12,859644800,3431800,3248000
4/16/12,1050786800,4044300,5498000
4/17/12,1025528000,2829200,5577500
4/18/12,954531200,4001900,4115500
4/19/12,834719200,4002400,3874500
4/20/12,1030985200,3243600,4109000
4/23/12,966529200,3481000,4454000
4/24/12,1076149200,3376300,3372500
4/25/12,905777600,3955100,3561000
4/26/12,536068400,10234000,2126500
4/27/12,406722400,22116900,2955000
4/30/12,506144800,9756900,2069500
5/1/12,610999200,6754900,3295000
5/2/12,427389200,4593400,2486500
5/3/12,390549600,4055500,4206500
5/4/12,529992400,4585200,6237500
5/7/12,460118400,3314300,5790000
5/8/12,497252000,4522400,15486000
5/9/12,480704000,3712000,9739500
5/10/12,333200000,4648400,27781500
5/11/12,399546000,4193600,6106500
5/14/12,352626400,3096600,6904500
5/15/12,476336000,5713700,7928500
5/16/12,560896000,5261800,6285500
5/17/12,717220000,4505500,5745000
5/18/12,732292400,5231700,8082500
5/21/12,631106000,3579800,7376000
5/22/12,694870400,3733100,11831000
5/23/12,584897600,4243800,6102000
5/24/12,496230000,3141100,5378000
5/25/12,328507200,2171400,3785000
5/29/12,380508800,2693900,8250000
5/30/12,529429600,4078200,6536000
5/31/12,491674400,4944000,5593500
6/1/12,520987600,3951500,4429000
6/4/12,556995600,4299600,5154500
6/5/12,388214400,3543900,3154500
6/6/12,401455600,2710100,4549500
6/7/12,379766800,3503900,2460500
6/8/12,347516400,2877000,4405500
6/11/12,591264800,3749100,3180000
6/12/12,435380400,2833300,2845000
6/13/12,293580000,2325200,4220500
6/14/12,345573200,3060900,4361000
6/15/12,335255200,3785200,3234000
6/18/12,440412000,3369600,6284000
6/19/12,361404400,2716600,4555500
6/20/12,358943200,2444400,17112000
6/21/12,326351200,2843000,9459500
6/22/12,284471600,2187500,15233000
6/25/12,304382400,2382300,7492500
6/26/12,276536400,3754100,13069500
6/27/12,202997200,2799200,5236000
6/28/12,282836400,2994800,4570500
6/29/12,421500800,3614400,5629000
7/2/12,400092000,2330700,6578000
7/3/12,241712800,1331700,4735000
7/5/12,484383200,2682300,6269000
7/6/12,418930400,3203200,3922500
7/9/12,379405600,1922000,4552500
7/10/12,511957600,2982100,3792000
7/11/12,469322000,2734700,3193000
7/12/12,428041600,2616200,5628500
7/13/12,311427200,2221900,6524000
7/16/12,301260400,2004200,8720000
7/17/12,293624800,1987000,12846500
7/18/12,252700000,2093000,14409500
7/19/12,436861600,5449400,7179500
7/20/12,397471200,4170000,7842500
7/23/12,487975600,5515100,6934000
7/24/12,565132400,5008700,7501500
7/25/12,877312800,3646700,14211000
7/26/12,406632800,6937400,11311500
7/27/12,403936400,11313900,8365000
7/30/12,379142400,3736400,10326000
7/31/12,462327600,3453600,7875500
8/1/12,384501600,2543800,7961500
8/2/12,332158400,3048100,6525500
8/3/12,344920800,2825300,6047500
8/6/12,302103200,1843700,7641000
8/7/12,290446800,2058300,11936000
8/8/12,244706000,1534300,6544500
8/9/12,221642400,1548100,3363000
8/10/12,194938800,1852500,3537000
8/13/12,278832400,1997300,4350500
8/14/12,340169200,2751000,3967000
8/15/12,257342400,3264700,2627000
8/16/12,254534000,4312100,3345000
8/17/12,442761200,3085800,2541000
8/20/12,613384800,1889900,5895500
8/21/12,812719600,2571500,3808000
8/22/12,565322800,2473700,3877500
8/23/12,420128800,2453900,7355000
8/24/12,437340400,3698800,7147000
8/27/12,427008400,2929700,6752000
8/28/12,267416800,2742300,7013500
8/29/12,202806800,1772600,4194500
8/30/12,302699600,3647500,3282000
8/31/12,338321200,3347500,2699000
9/4/12,367892000,3950800,3762500
9/5/12,336375200,2652600,3196500
9/6/12,391196400,5361400,4208500
9/7/12,329666400,5029500,4766000
9/10/12,487998000,2567200,7416500
9/11/12,503983200,2524800,5074500
9/12/12,712233200,2273200,5726000
9/13/12,598360000,3525600,7423500
9/14/12,600474000,3666200,7683000
9/17/12,398031200,2306300,16064000
9/18/12,373503200,2215000,8942500
9/19/12,326874800,2636800,5242500
9/20/12,336568400,2913600,4562000
9/21/12,571589200,6059300,9350000
9/24/12,639766400,2707900,6509500
9/25/12,518789600,4405800,28402000
9/26/12,576503200,2920500,7636000
9/27/12,594090000,3397400,8793000
9/28/12,535110800,2456600,21717000
10/1/12,543594800,2581200,4422000
10/2/12,627992400,2195800,3645000
10/3/12,424281200,2745600,5264000
10/4/12,370725600,2700400,7706500
10/5/12,594006000,2806500,4693000
10/8/12,637994000,1762300,4448500
10/9/12,838597200,3494800,5965000
10/10/12,510356000,3948300,2518000
10/11/12,546081200,3447300,2253000
10/12/12,460014800,2203200,4938000
10/15/12,432502000,2959800,7343500
10/16/12,549771600,2204100,2396500
10/17/12,389037600,3302700,3340000
10/18/12,476624400,5305300,3705000
10/19/12,744086000,4395300,5137000
10/22/12,546730800,4500000,2351000
10/23/12,707145600,4430800,3745000
10/24/12,558527200,3678700,5082000
10/25/12,656325600,6741300,2888500
10/26/12,1018432800,11367500,2387000
10/31/12,510003200,4797600,3876000
11/1/12,361298000,3905100,5120500
11/2/12,599373600,3374700,5151500
11/5/12,529135600,1846100,10244500
11/6/12,374917200,2661300,11620000
11/7/12,793648800,3624200,8572500
11/8/12,1056146000,2982400,6370000
11/9/12,929913600,3092500,4315000
11/12/12,515802000,2128800,2779500
11/13/12,532949200,2629800,4991500
11/14/12,477170400,3034100,4356500
11/15/12,789910800,3404700,4920000
11/16/12,1266893600,4352800,4543500
11/19/12,823317600,3591200,6962000
11/20/12,642754000,2771700,4612500
11/21/12,373002000,2959300,4816000
11/23/12,272826400,1776800,2151500
11/26/12,630579600,4178300,2479000
11/27/12,533330000,3048500,4554000
11/28/12,520864400,2743400,7626000
11/29/12,514698800,5310500,5517000
11/30/12,391319600,3797400,7101500
12/3/12,364280000,2990600,10428500
12/4/12,557068400,3114700,6316500
12/5/12,1044638000,2852200,3307500
12/6/12,1177212400,3557900,3302000
12/7/12,787040800,2170300,3322000
12/10/12,630484400,3503800,4649000
12/11/12,592345600,4185200,7863000
12/12/12,487144000,2628100,10319000
12/13/12,625259600,2460200,10756500
12/14/12,1009579200,2526900,5115000
12/17/12,757607200,2277000,4124500
12/18/12,625685200,4961000,7769500
12/19/12,449369200,2300000,6494000
12/20/12,481689600,2584600,4606000
12/21/12,596268400,4704600,7462000
12/24/12,175753200,984400,1879000
12/26/12,302436400,4152700,3007000
12/27/12,455120400,3639300,2805500
12/28/12,354278400,1858700,2070500
12/31/12,659492400,3419000,2974500
1/2/13,560518000,3271000,5974000
1/3/13,352965200,2750900,3710000
1/4/13,594333600,1874200,3370000
1/7/13,484156400,4910000,2210000
1/8/13,458707200,3010700,6420000
1/9/13,407604400,2265600,3490000
1/10/13,601146000,2863400,4612500
1/11/13,350506800,2413300,7816000
1/14/13,734207600,4275000,4625500
1/15/13,876772400,2326900,8121000
1/16/13,690804800,2065600,6891000
1/17/13,453678400,1884600,7183500
1/18/13,472922800,2942000,17775500
1/22/13,461546400,2137700,9601000
1/23/13,861509600,2508900,7821500
1/24/13,1460852400,3417000,9852000
1/25/13,1208026400,4968100,6439000
1/28/13,785517600,4321400,9930000
1/29/13,571158000,10172600,7133000
1/30/13,417155200,13075400,4840500
